antecedent,consequent,support,confidence,lift
category=open;quota=all india,district=paschim bardhaman,0.04311,0.111903,1.379795
quota=all india;stream=b.e/b. tech,district=paschim bardhaman,0.042962,0.11169,1.377167
category=open;stream=b.e/b. tech,district=south 24 parganas,0.047859,0.108568,1.551607
category=open,district=south 24 parganas,0.047859,0.108185,1.546142
district=kolkata;quota=home state,program=information technology,0.024931,0.107623,1.144783
district=kolkata;quota=home state,category=obc - a,0.024783,0.106983,1.437493
quota=all india;stream=b.e/b. tech,program=electronics & communication engineering,0.040142,0.10436,1.451449
quota=all india,program=electronics & communication engineering,0.040142,0.104199,1.449212
category=open;quota=all india,program=electronics & communication engineering,0.040142,0.104199,1.449212
district=kolkata;quota=home state,category=obc - b,0.024041,0.10378,1.463011
quota=home state,category=st,0.062996,0.102474,1.626675
quota=home state;stream=b.e/b. tech,category=st,0.062032,0.101976,1.618765
category=open;stream=b.e/b. tech,program=electronics & communication engineering,0.044817,0.101666,1.413992
stream=b.e/b. tech,category=sc,0.100913,0.101629,0.997564
category=open,program=electronics & communication engineering,0.044817,0.101308,1.409011
district=kolkata,program=computer science & engineering,0.034355,0.101291,0.709509
district=kolkata;stream=b.e/b. tech,program=computer science & engineering,0.034355,0.101291,0.709509
district=kolkata;quota=home state,category=open,0.023076,0.099616,0.225179
stream=b.e/b. tech,program=electrical engineering,0.098167,0.098864,1.007099
category=open;stream=b.e/b. tech,district=paschim bardhaman,0.042962,0.097458,1.201689
category=open,district=paschim bardhaman,0.04311,0.097451,1.201593
category=open;stream=b.e/b. tech,program=information technology,0.042888,0.09729,1.034868
category=open,program=information technology,0.042888,0.096947,1.031223
quota=all india;stream=b.e/b. tech,program=information technology,0.036729,0.095486,1.01568
quota=all india,program=information technology,0.036729,0.095339,1.014115
category=open;quota=all india,program=information technology,0.036729,0.095339,1.014115
stream=b.e/b. tech,program=information technology,0.094012,0.094679,1.007099
district=kolkata;quota=home state,program=computer science & engineering,0.021889,0.094491,0.661877
quota=home state;stream=b.e/b. tech,program=information technology,0.057283,0.094169,1.001673
quota=home state,program=information technology,0.057283,0.09318,0.991155
quota=home state,category=open,0.057134,0.092939,0.210087
quota=home state;stream=b.e/b. tech,district=nadia,0.056467,0.092828,1.186942
quota=home state;stream=b.e/b. tech,category=open,0.05617,0.09234,0.208732
quota=home state,district=nadia,0.056467,0.091853,1.174478
quota=home state;stream=b.e/b. tech,program=electrical engineering,0.053647,0.088192,0.898388
quota=home state,program=electrical engineering,0.053647,0.087266,0.888954
district=kolkata,category=st,0.028419,0.083789,1.330066
district=kolkata;stream=b.e/b. tech,category=st,0.028419,0.083789,1.330066
category=open;stream=b.e/b. tech,program=mechanical engineering,0.036358,0.082478,1.176245
category=open,program=mechanical engineering,0.036358,0.082187,1.172102
stream=b.e/b. tech,district=paschim bardhaman,0.080953,0.081527,1.005256
